MAE,RMSE,R2,MedianAE,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Calibration_slope,Calibration_intercept,Within_5,Within_10,Within_15,Model
24.56125259399414,28.48284181453865,-0.05625474452972412,23.84532928466797,,,,,0.4250407822672569,18.636053057920304,9.807073954983924,21.221864951768488,31.028938906752412,Mean Predictor
16.09571647644043,20.672244806074293,0.44361263513565063,13.351726531982422,0.7004429697990417,0.0,0.6938995524879216,1.7239526754091775e-90,0.8102225347839739,10.256149445777961,24.59807073954984,40.67524115755627,54.019292604501615,Linear Regression
15.950610160827637,20.300895122467814,0.4634225368499756,13.653501510620117,0.7080191969871521,0.0,0.7000327137288822,9.871672290615605e-93,0.8455658716375904,9.163844133127341,23.47266881028939,42.28295819935691,54.340836012861736,Ridge
17.8780460357666,22.291617230036692,0.35302847623825073,15.498926162719727,0.6204580664634705,0.0,0.6131369598195202,1.7285805369346765e-65,0.985453806542224,5.416663320335693,19.614147909967848,33.11897106109325,49.19614147909968,Elastic Net
17.19993562202929,20.941678594115576,0.4290145932986179,15.67750252238226,0.7029887668006989,7.819033142254738e-94,0.7052136526341826,1.1356833644715761e-94,1.5489151135571688,-18.06421117379696,15.916398713826366,33.60128617363344,47.7491961414791,Random Forest
12.609206503129013,16.601985703827093,0.6411424399484109,9.984608427464238,0.8200536877117546,2.050236118556276e-152,0.7953837940341374,6.091996389254126e-137,0.9995329893442692,4.921779205614283,28.778135048231512,50.32154340836013,67.68488745980707,Gradient Boosting
12.354662895202637,16.001768014499014,0.666621208190918,9.8204984664917,0.8250492215156555,0.0,0.7921338616040355,4.614844308623979e-135,0.9803409864818904,3.9256603648914665,26.527331189710612,50.80385852090033,68.97106109324758,XGBoost
12.416830295991899,15.856941809269495,0.6726284808321112,10.167272142677966,0.8300522156773834,2.2265652238559253e-159,0.8024832922636285,3.6143029747797445e-141,1.0152510322066723,3.0130741993026025,26.527331189710612,48.39228295819936,68.0064308681672,LightGBM
19.311149829388043,24.4433337686513,0.22210155227045614,15.245329162648435,0.5352065226355528,2.1759215547233833e-47,0.5874305047589845,5.685469372619358e-59,1.167611832182482,1.575494557015219,15.755627009646304,31.9935691318328,49.035369774919616,SVR
,,,,,,,,,,,,,MLP (PyTorch)
